taxon6,taxon6_2,count,regulation
Pyronema,Tuber,50,1
Tuber,Tuber,45,1
Tuber,Tuber,3087,0
Pyronema,Tuber,2140,0
Dactylellina,Tuber,45,0
Orbilia,Tuber,40,0
Aspergillus,Tuber,30,0
Pyronema,Pyronema,400,1
Pyronema,Pyronema,6597,0
Tuber,Pyronema,1421,0
Dactylellina,Pyronema,50,0
Orbilia,Pyronema,33,0
Aureobasidium,Pyronema,31,0
Drechslerella,Pyronema,29,0
Pyronema,Orbilia,94,0
Tuber,Orbilia,64,0
Orbilia,Orbilia,36,0
Dactylellina,Orbilia,32,0
Drechslerella,Orbilia,21,0
Pyronema,Drechslerella,50,0
Tuber,Drechslerella,35,0
Drechslerella,Drechslerella,24,0
Pyronema,Dactylellina,160,0
Tuber,Dactylellina,116,0
Dactylellina,Dactylellina,105,0
Orbilia,Dactylellina,39,0
Drechslerella,Dactylellina,26,0
Pyronema,Paracoccidioides,33,0
Tuber,Paracoccidioides,33,0
Coccidioides,Coccidioides,56,0
Pyronema,Coccidioides,50,0
Tuber,Coccidioides,38,0
Trichophyton,Trichophyton,49,0
Arthroderma,Trichophyton,45,0
Tuber,Trichophyton,29,0
Pyronema,Trichophyton,26,0
Arthroderma,Arthroderma,27,0
Pyronema,Arthroderma,22,0
Histoplasma,Histoplasma,50,0
Pyronema,Histoplasma,23,0
Pyronema,Blastomyces,65,0
Tuber,Blastomyces,55,0
Blastomyces,Blastomyces,36,0
Talaromyces,Talaromyces,137,0
Pyronema,Talaromyces,67,0
Tuber,Talaromyces,56,0
Rasamsonia,Talaromyces,22,0
Byssochlamys,Byssochlamys,37,0
Pyronema,Byssochlamys,34,0
Tuber,Byssochlamys,23,0
Penicillium,Penicillium,145,0
Pyronema,Penicillium,73,0
Tuber,Penicillium,35,0
Aspergillus,Penicillium,21,0
Aspergillus,Neosartorya,39,0
Neosartorya,Neosartorya,23,0
Pyronema,Neosartorya,21,0
Aspergillus,Aspergillus,29,1
Aspergillus,Aspergillus,375,0
Pyronema,Aspergillus,210,0
Tuber,Aspergillus,131,0
Talaromyces,Aspergillus,62,0
Neosartorya,Aspergillus,37,0
Rasamsonia,Aspergillus,35,0
Byssochlamys,Aspergillus,23,0
Coniosporium,Aspergillus,23,0
Pyronema,Exophiala,59,0
Exophiala,Exophiala,58,0
Tuber,Exophiala,50,0
Pyronema,Coniosporium,57,0
Tuber,Coniosporium,56,0
Coniosporium,Coniosporium,46,0
Cladophialophora,Cladophialophora,33,0
Pyronema,Cladophialophora,31,0
Tuber,Cladophialophora,27,0
Fonsecaea,Cladophialophora,22,0
Pyronema,Setosphaeria,21,0
Pyrenophora,Pyrenophora,22,0
Pyronema,Neofusicoccum,58,0
Tuber,Neofusicoccum,42,0
Neofusicoccum,Neofusicoccum,37,0
Pyronema,Macrophomina,63,0
Tuber,Macrophomina,44,0
Macrophomina,Macrophomina,35,0
Pyronema,Bipolaris,61,0
Bipolaris,Bipolaris,42,0
Tuber,Bipolaris,30,0
Stemphylium,Bipolaris,24,0
Pyronema,Aureobasidium,68,0
Aureobasidium,Aureobasidium,67,0
Tuber,Aureobasidium,36,0
Sordaria,Sordaria,23,0
Neurospora,Neurospora,47,0
Pyronema,Neurospora,38,0
Sordaria,Neurospora,29,0
Tuber,Neurospora,23,0
Podospora,Podospora,37,0
Pyronema,Podospora,21,0
Thielavia,Thielavia,22,0
Pyronema,Thielavia,21,0
Chaetomium,Chaetomium,41,0
Pyronema,Chaetomium,35,0
Sporothrix,Sporothrix,57,0
Magnaporthe,Magnaporthe,29,0
Gaeumannomyces,Gaeumannomyces,24,0
Scedosporium,Scedosporium,82,0
Fusarium,Fusarium,255,0
Pyronema,Fusarium,79,0
Colletotrichum,Fusarium,55,0
Tuber,Fusarium,25,0
Scedosporium,Fusarium,24,0
Pestalotiopsis,Fusarium,23,0
Trichoderma,Trichoderma,63,0
Pyronema,Trichoderma,43,0
Metarhizium,Metarhizium,60,0
Pyronema,Metarhizium,21,0
Verticillium,Verticillium,44,0
Pyronema,Verticillium,24,0
Colletotrichum,Colletotrichum,499,0
Pyronema,Colletotrichum,101,0
Scedosporium,Colletotrichum,43,0
Togninia,Colletotrichum,39,0
Tuber,Colletotrichum,30,0
Fusarium,Colletotrichum,21,0
Pseudogymnoascus,Pseudogymnoascus,241,0
Pyronema,Pseudogymnoascus,123,0
Tuber,Pseudogymnoascus,66,0
